"class","scored.class","scored.probability"
0,0,0.328452259
0,0,0.273190439
1,0,0.109660394
0,0,0.055998355
0,0,0.100490719
0,0,0.055154596
0,0,0.107115418
0,0,0.459947437
0,0,0.117023677
0,0,0.315363199
0,0,0.125189245
0,0,0.270624816
0,0,0.209809601
0,0,0.093585886
1,1,0.884845734
1,0,0.396652162
0,1,0.891394913
1,1,0.534548998
1,1,0.946334183
0,0,0.144916177
0,0,0.217637956
0,0,0.075213574
0,0,0.088432536
0,0,0.303468198
1,1,0.724480033
1,0,0.274973691
1,0,0.424864829
1,0,0.430925518
0,0,0.023228027
0,0,0.045960844
0,0,0.127985343
0,0,0.299337059
1,0,0.459095031
0,0,0.104795806
1,1,0.863091767
1,1,0.639974952
0,0,0.358184338
0,0,0.372164667
1,1,0.811103225
0,0,0.168127358
0,0,0.151277959
0,0,0.107007034
0,0,0.187961385
0,0,0.137197107
0,0,0.300474912
0,0,0.136887148
0,0,0.097869106
0,0,0.06290701
1,0,0.269419312
0,0,0.488542795
0,0,0.371757984
1,0,0.099479929
0,0,0.086562298
0,0,0.175289392
1,0,0.469379008
1,1,0.616554379
0,0,0.099827915
1,1,0.689177096
0,0,0.255286187
1,1,0.850543261
1,0,0.168862507
0,0,0.097241469
0,0,0.248369128
0,0,0.181560978
0,0,0.239993617
0,0,0.404558897
0,0,0.358302563
0,0,0.150630787
1,0,0.486538321
1,1,0.615034819
0,0,0.354489505
1,0,0.173139617
1,0,0.25961113
1,1,0.69893986
0,0,0.298601627
0,0,0.104231328
0,0,0.211052835
0,0,0.065427765
0,0,0.050514329
0,0,0.108679689
0,0,0.078689478
1,1,0.681287587
1,0,0.377120316
0,0,0.162707746
0,0,0.352150798
1,0,0.475496411
0,0,0.135658145
0,0,0.133919805
0,1,0.52247107
0,0,0.25938189
0,0,0.099467404
0,0,0.127192318
1,0,0.376446187
0,1,0.520882308
1,1,0.760592103
1,0,0.208926529
1,0,0.23335214
0,0,0.205940694
0,0,0.11565955
0,0,0.083993107
1,0,0.117731154
1,1,0.717036366
0,0,0.129289985
0,0,0.436803728
0,0,0.281553656
1,1,0.591983795
1,1,0.847293198
0,0,0.315155596
0,0,0.137310147
0,0,0.168096349
0,0,0.050671108
0,0,0.498359084
1,0,0.454814345
0,0,0.450442106
1,0,0.18149738
0,0,0.294203669
1,0,0.409448326
1,0,0.316768289
0,0,0.196954906
0,0,0.062799565
1,1,0.883359134
0,0,0.099364467
1,0,0.40883702
0,0,0.362492234
0,0,0.079918385
1,1,0.617276192
0,0,0.223581657
0,0,0.301386267
0,0,0.066109128
1,0,0.167028964
0,0,0.297064453
0,1,0.627650201
0,0,0.203628749
0,0,0.457473487
0,0,0.372272134
1,1,0.635780692
0,0,0.083773382
0,0,0.151937798
0,0,0.053209893
1,1,0.548664391
0,0,0.494626135
0,0,0.235325485
0,0,0.183151901
0,0,0.064150542
0,0,0.085955635
0,0,0.37378785
0,0,0.412809372
1,1,0.830497622
0,0,0.131453827
0,0,0.066140577
0,0,0.10096173
0,0,0.028639648
0,0,0.269640416
1,0,0.328142017
0,0,0.149350896
1,0,0.455571443
0,0,0.080949791
0,0,0.034714341
1,1,0.661475003
0,0,0.065989301
0,0,0.139790311
0,0,0.047426686
0,0,0.026607025
1,1,0.782594562
0,0,0.141828492
0,0,0.285030276
1,0,0.338855416
1,0,0.16264455
0,1,0.56490618
0,0,0.05622422
0,0,0.18911685
0,0,0.170724869
0,0,0.160804883
1,0,0.24577269
0,0,0.109990492
1,1,0.676451623
0,0,0.311419576
1,1,0.707209587
1,1,0.888276577
0,0,0.422467858
0,0,0.119981028
